iter	Accuracy	Logloss
416	0.8851246169	0.2544959137
417	0.8851680091	0.2544341168
418	0.8852023613	0.2543530086
419	0.8852620255	0.2542626267
420	0.8853072257	0.2541687067
421	0.8853379618	0.2540751406
422	0.8853650819	0.2540165928
423	0.885374122	0.25398764
424	0.8854464423	0.2538737912
425	0.8854789864	0.2538217526
426	0.8854934505	0.2537575868
427	0.8855042985	0.2536953167
428	0.8855259946	0.2536572763
429	0.8855711948	0.2536059988
430	0.8855965069	0.253570264
431	0.885610971	0.2535213888
432	0.885609163	0.2534737754
433	0.885612779	0.2534265962
434	0.8855928909	0.2533991939
435	0.8856254351	0.2533413558
436	0.8856670192	0.2532807247
437	0.8857140274	0.2531838124
438	0.8858188919	0.2530791007
439	0.88584782	0.2530137966
440	0.8858749401	0.252932033
441	0.8859165243	0.2528387967
442	0.8859526844	0.2528055391
443	0.8859581085	0.2527599676
444	0.8859779965	0.2527270409
445	0.8860231967	0.2526452037
446	0.8860557409	0.2526054975
447	0.8861117891	0.2525574064
448	0.8861823014	0.2524822223
449	0.8862311176	0.2524234799
450	0.886323326	0.252349403
451	0.8863558701	0.2523157392
452	0.8863612942	0.2522797144
453	0.8863685262	0.2522471909
454	0.8863811823	0.2522156895
455	0.8864299985	0.2521782223
456	0.8864806227	0.2520967503
457	0.8865059348	0.2520643629
458	0.8865348629	0.2520152862
459	0.8865366709	0.251940701
460	0.886567407	0.2519048954
461	0.8865999512	0.2518817181
462	0.8866758875	0.2517686616
463	0.8867084316	0.2517119533
464	0.8867373598	0.2516825365
465	0.886780752	0.2516154261
466	0.8867500158	0.2515769171
467	0.8867717119	0.2515571912
468	0.8868132961	0.2514911611
469	0.8868566883	0.2514151825
470	0.8868874244	0.2513911123
471	0.8868964644	0.2513503158
472	0.8869344326	0.2513049118
473	0.8869615527	0.2512540201
474	0.8869886728	0.2512028396
475	0.8870085609	0.2511148854
476	0.8870664172	0.2510323394
477	0.8870664172	0.2509799514
478	0.8870989613	0.2509392041
479	0.8871278894	0.2508904851
480	0.8871333134	0.2508463616
481	0.8872490259	0.2507686629
482	0.887256258	0.2507261001
483	0.887252642	0.2506898758
484	0.8873141142	0.2505988636
485	0.8873520824	0.2505469356
486	0.8873954746	0.2504866411
487	0.8873990906	0.2504461668
488	0.8874605628	0.2503654346
489	0.8875545792	0.2502529476
490	0.8876033954	0.2501844043
491	0.8876449796	0.2501506123
492	0.8876413636	0.250110783
493	0.8876522116	0.2500815898
494	0.8876847558	0.2500488245
495	0.8877046439	0.2500208701
496	0.887724532	0.2499787841
497	0.887742612	0.2499244906
498	0.8877552681	0.2498638924
499	0.8877769642	0.2498389177
